id,timestamp,device,PCell_RSRP_max,PCell_RSRQ_max,PCell_RSSI_max,PCell_SNR_max,PCell_Downlink_Num_RBs,PCell_Downlink_Average_MCS,PCell_Downlink_bandwidth_MHz,PCell_Cell_Identity,PCell_freq_MHz,SCell_RSRP_max,SCell_RSRQ_max,SCell_RSSI_max,SCell_SNR_max,SCell_Downlink_Num_RBs,SCell_Downlink_Average_MCS,SCell_Downlink_bandwidth_MHz,SCell_Cell_Identity,SCell_freq_MHz,operator,Latitude,Longitude,Altitude,speed_kmh,COG,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,cloudCover,uvIndex,visibility,Traffic Jam Factor,area,target
Id_ljmiwf3qea,1624552368,pc3,-114.1425,-15.4675,-79.85875,0.223000002130866,40594.0,13.0,15.0,2837268.0,2000.0,,,,,,,,,,2,52.501225,13.33242,38.5,38.1512,215.1,0.3184,0.45,18.65,18.65,13.83,0.74,1017.4,2.42,1.0,1.0,16.093,3.11954,Residential,6370000.0
Id_05bjaoe1ja,1624547393,pc3,-68.236875,-12.871875,-37.51125,14.340000009536745,71263.0,24.0,15.0,51629589.0,2000.0,,,,,,,,,,2,52.50006666666667,13.32526,49.1,0.0,264.7,0.22,0.32,18.69,18.69,13.57,0.72,1017.9,2.16,0.99,2.0,16.093,3.14159,Residential,48800000.0
Id_18zlf6p734,1624349749,pc3,-104.56625,-15.841875,-68.458125,0.806999995931983,48728.0,16.0,20.0,3301896.0,1800.0,,,,,,,,,,2,52.510378333333335,13.366348333333333,34.4,47.226,255.3,0.0647,0.04,18.15,18.15,14.09,0.77,1011.9,4.07,0.97,3.0,16.093,3.38076,Park,18500000.0
Id_0jyhhbhlv9,1624376081,pc3,-75.45625,-12.79625,-42.70125,13.619999923706054,37951.0,21.0,20.0,4078344.0,1800.0,,,,,,,,,,2,52.507435,13.34833,40.7,40.1884,228.5,0.0251,0.01,23.83,23.83,14.89,0.57,1013.7,2.17,0.76,2.0,16.093,1.4775,Park,20900000.0
Id_s5hxmzm02f,1624376962,pc3,-101.9975,-12.009375,-68.964375,10.672999982833865,60678.0,23.0,20.0,2568970.0,1800.0,,,,,,,,,,2,52.49605833333333,13.305103333333332,42.6,24.076,183.8,0.0241,0.01,23.87,23.87,14.78,0.57,1013.7,2.19,0.76,2.0,16.093,2.26942,Residential,32100000.0
Id_lx2xgjoygr,1624376537,pc3,-109.42,-16.531875,-72.880625,-2.4000000096857548,28756.0,12.0,20.0,2824456.0,1800.0,,,,,,,,,,2,52.50039,13.329318333333331,50.3,0.0,263.9,0.0235,0.01,23.85,23.85,14.81,0.57,1013.7,2.18,0.76,2.0,16.093,2.42228,Residential,7530000.0
Id_8dcjns9loi,1624371107,pc3,-63.565,-12.244375,-34.136875,26.507999992370607,55406.0,28.0,20.0,2819850.0,1800.0,,,,,,,,,,2,52.50327333333333,13.339313333333331,36.1,1.852,221.5,0.0075,0.01,22.42,22.42,14.69,0.62,1013.9,2.12,0.83,3.0,16.093,3.14159,Park,69800000.0
Id_ir550u3gsn,1624365382,pc1,-81.81,-16.76625,-44.893125,9.942000024318697,31915.0,21.0,20.0,29127681.0,1800.0,-89.503125,-10.293125,-57.94625,12.894999980926514,89008.0,14.0,20.0,29127684.0,2600.0,1,52.51273833333333,13.325348333333334,31.8,37.7808,84.2,0.0,0.0,21.57,21.57,13.91,0.62,1013.6,2.41,0.95,4.0,16.093,2.72897,Avenue,54500000.0
Id_dhbzfxk4ce,1624553892,pc1,-84.45875,-14.745,-49.646875,22.83899995803833,89167.0,26.0,20.0,33802242.0,1800.0,-88.5125,-10.333125,-57.684375,20.119999980926515,94968.0,20.0,20.0,33802248.0,2600.0,1,52.51349166666667,13.335381666666668,28.7,0.0,84.4,0.3287,0.45,18.64,18.64,13.9,0.74,1017.4,2.41,1.0,1.0,16.093,2.60771,Avenue,148000000.0
Id_bttvamfqtj,1624354410,pc1,-96.88,-9.87625,-67.015,10.852000045776368,42620.0,14.0,20.0,26349058.0,1800.0,-100.255625,-10.545625,-69.523125,13.188000025749206,85780.0,20.0,20.0,26349061.0,2600.0,1,52.509816666666666,13.362011666666668,30.8,34.6324,273.4,0.0489,0.02,19.29,19.29,13.75,0.7,1012.5,4.05,0.96,4.0,16.093,2.28544,Park,37000000.0
Id_rzt8mgynut,1624552007,pc3,-77.988125,-15.851875,-43.405,0.0249999912083148,48344.0,15.0,,,2000.0,,,,,,,,,,2,52.504108333333335,13.340388333333332,41.3,16.4828,222.7,0.3339,0.46,18.89,18.89,13.6,0.71,1017.7,2.31,1.0,1.0,16.093,8.3536,Park,12800000.0
Id_pbwp7q6e00,1624547308,pc1,-90.69,-15.225625,-55.636875,3.6800000073760746,87684.0,21.0,20.0,26367744.0,1800.0,-91.161875,-10.74625,-60.280625,4.499999994784593,66288.0,16.0,20.0,26367750.0,2600.0,1,52.500385,13.32931,47.1,3.3336,263.6,0.22,0.32,18.69,18.69,13.57,0.72,1017.9,2.16,0.99,2.0,16.093,3.14159,Residential,41400000.0
Id_7gpmqi1gfs,1624349309,pc1,-86.256875,-10.881875,-52.5925,2.856000006198883,98084.0,17.0,20.0,30828800.0,1800.0,-91.123125,-10.009375,-59.74625,17.5750000667572,51208.0,18.0,,,2600.0,1,52.515155,13.361181666666669,38.6,0.0,84.1,0.0655,0.04,18.13,18.13,14.08,0.77,1011.9,4.06,0.97,3.0,16.093,0.28864,Park,49600000.0
Id_zvb6z8dydk,1624376447,pc3,-102.04342105263156,-12.7875,-65.83947368421053,1.8642105403699372,29557.0,21.0,20.0,2940680.0,1800.0,-110.22606382978724,-27.4468085106383,-62.630319148936174,-13.3340425491333,88.0,2.0,20.0,2940687.0,2600.0,2,52.50251,13.333736666666669,39.3,0.0,213.6,0.0235,0.01,23.85,23.85,14.81,0.57,1013.7,2.18,0.76,2.0,16.093,0.95522,Residential,10200000.0
Id_gxbuuh5ndk,1624542020,pc1,-95.61875,-15.463125,-61.81375,9.682999992370606,94871.0,20.0,20.0,26367489.0,1800.0,,,,,,,,,,1,52.5135,13.330108333333332,40.3,0.0,164.9,0.1075,0.23,18.77,18.77,13.43,0.71,1017.9,1.97,0.99,3.0,16.093,8.84071,Avenue,54500000.0
Id_0nnrof4w88,1624372092,pc3,-97.158125,-11.25,-65.75125,11.845,61704.0,19.0,20.0,2568970.0,1800.0,,,,,,,,,,2,52.49561833333333,13.304955,40.6,27.2244,183.0,0.0083,0.01,22.59,22.59,14.0,0.58,1013.8,2.14,0.82,3.0,16.093,2.6202,Residential,28500000.0
Id_sjmjfh9qly,1624548702,pc1,-71.0575,-9.59,-42.461875,27.164999961853027,96776.0,28.0,20.0,42445056.0,2600.0,,,,,,,,,,1,52.51078833333333,13.289108333333331,39.9,6.482,178.3,0.3335,0.47,18.93,18.93,13.56,0.71,1017.7,2.3,1.0,1.0,16.093,8.0705,Avenue,132000000.0
Id_gv27oxmiku,1624354065,pc1,-72.37125,-11.115,-43.2025,4.462000024318695,93172.0,19.0,20.0,34007040.0,1800.0,-81.18625,-10.563125,-47.545,19.322000045776367,95384.0,25.0,20.0,34007042.0,2600.0,1,52.51601333333333,13.375191666666666,30.8,0.0,84.6,0.0239,0.02,18.78,18.78,13.9,0.73,1012.2,4.23,0.97,4.0,16.093,2.66218,Park,70300000.0
Id_k24bnl5u7q,1624350223,pc1,-80.456875,-10.97125,-51.34125,7.004000015258789,93065.0,17.0,20.0,26358785.0,1800.0,-77.568125,-10.014375,-47.47375,11.692999987602231,84756.0,17.0,,,2600.0,1,52.503283333333336,13.339203333333334,37.6,17.2236,277.7,0.0645,0.04,18.13,18.13,14.02,0.77,1011.9,4.08,0.97,3.0,16.093,2.9853,Park,63300000.0
Id_qrnm3att9b,1624543437,pc1,-91.381875,-11.035625,-59.9075,8.31600002527237,83648.0,20.0,20.0,26720002.0,1800.0,-87.953125,-10.254375,-57.681875,14.762999963760375,70182.0,23.0,20.0,26720005.0,2600.0,1,52.50253,13.333631666666667,28.0,0.0,206.9,0.1074,0.23,18.79,18.79,13.39,0.71,1017.9,1.97,0.99,3.0,16.093,3.83218,Residential,92700000.0
Id_v262ugpmb7,1624366016,pc1,-102.1325,-11.32375,-70.44375,6.408000001907348,34046.0,11.0,20.0,26349058.0,1800.0,-105.470625,-11.111875,-73.49625,5.687999997138977,43068.0,16.0,20.0,26349061.0,2600.0,1,52.51020833333333,13.36559,31.0,47.0408,255.2,0.0,0.0,21.5,21.5,13.92,0.62,1013.6,2.45,0.95,4.0,16.093,2.8285,Park,19000000.0
Id_srsbmb5ch0,1624552119,pc1,-69.648125,-9.7025,-39.823125,21.578999977111817,93012.0,23.0,20.0,26358785.0,1800.0,-77.715625,-9.458125,-47.40625,17.953000059127806,93956.0,23.0,,,2600.0,1,52.50351833333333,13.339725,39.9,12.4084,214.1,0.3339,0.46,18.89,18.89,13.6,0.71,1017.7,2.31,1.0,1.0,16.093,3.14159,Park,155000000.0
Id_88l81u44kv,1624349159,pc1,-78.0775,-8.755,-48.571875,8.233999991416932,94405.0,20.0,20.0,30828800.0,1800.0,-86.4375,-9.066875,-57.203125,20.575999937057496,46080.0,28.0,20.0,30828803.0,2600.0,1,52.51512,13.360643333333334,39.6,30.9284,85.0,0.0655,0.04,18.13,18.13,14.08,0.77,1011.9,4.06,0.97,3.0,16.093,0.22096,Park,57900000.0
Id_5e6r62f3f1,1624377434,pc3,-102.4,-13.49125,-69.475,3.724000013023615,45254.0,16.0,20.0,2948877.0,2600.0,,,,,,,,,,2,52.50035666666667,13.28032,46.3,3.704,331.8,0.025,0.01,23.87,23.87,14.71,0.57,1013.7,2.22,0.76,2.0,16.093,0.0,Highway,13600000.0
Id_eeq0totuzn,1624348982,pc1,-72.391875,-9.626875,-42.74875,17.542999930381775,95840.0,18.0,20.0,34006273.0,1800.0,-76.765,-9.685625,-47.00125,23.631000022888184,97960.0,23.0,20.0,34006275.0,2600.0,1,52.51485666666667,13.355713333333334,39.2,0.0,83.4,0.0649,0.04,18.15,18.15,14.1,0.77,1011.9,4.07,0.97,3.0,16.093,1.04201,Park,128000000.0
Id_5kb718ylvc,1624348687,pc1,-86.65875,-15.7225,-50.991875,17.177000007629395,95172.0,24.0,20.0,33802241.0,1800.0,-84.415,-9.6475,-53.783125,25.296000003814697,92016.0,25.0,,,2600.0,1,52.51405833333333,13.344295,41.7,0.0,61.5,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,2.98376,Park,175000000.0
Id_qijifz7uhp,1624372618,pc3,-85.71,-12.144375,-53.564375,17.97300003051758,43341.0,23.0,20.0,2568970.0,1800.0,-93.39125,-12.538125,-60.895625,13.003999968767166,48541.0,12.0,20.0,2568967.0,2600.0,2,52.491645,13.30461,43.3,0.0,159.0,0.0132,0.01,22.98,22.98,14.52,0.59,1013.5,2.29,0.82,3.0,16.093,3.75023,Residential,49600000.0
Id_h2fnpfnban,1624371882,pc3,-102.484375,-13.045625,-70.9475,9.582000002861022,36649.0,24.0,20.0,2824458.0,1800.0,,,,,,,,,,2,52.49908333333333,13.307998333333334,46.4,0.0,271.2,0.0081,0.01,22.57,22.57,14.71,0.61,1013.8,2.13,0.82,3.0,16.093,2.08425,Residential,15000000.0
Id_nvi4osbpoi,1624547067,pc1,-77.675625,-10.29625,-47.410625,10.15800000667572,65627.0,16.0,20.0,26359553.0,1800.0,-79.518125,-9.696875,-48.694375,14.988999996185305,97584.0,20.0,,,2600.0,1,52.504005,13.337393333333331,38.8,23.5204,302.9,0.2217,0.32,18.67,18.67,13.57,0.72,1017.9,2.17,0.99,2.0,16.093,3.14159,Park,102000000.0
Id_kzc1qdg6qh,1624365682,pc1,-79.980625,-9.394375,-50.891875,21.385999927520757,45364.0,22.0,20.0,34006528.0,1800.0,-85.708125,-9.035625,-57.020625,16.195999994277955,50918.0,23.0,20.0,34006530.0,2600.0,1,52.51557833333333,13.367378333333331,29.5,38.7068,84.0,0.0,0.0,21.54,21.54,13.96,0.62,1013.6,2.45,0.95,4.0,16.093,1.01491,Park,75800000.0
Id_zwi5pmgorc,1624544586,pc1,-99.39466292134831,-15.98806179775281,-62.79283707865169,-0.5662921529807402,57620.0,13.0,20.0,34210562.0,1800.0,,,,,,,,,,1,52.49923666666667,13.281111666666666,41.5,41.67,333.8,0.1202,0.24,18.75,18.75,13.33,0.71,1018.0,1.98,1.0,3.0,16.093,7.01551,Highway,13900000.0
Id_mc3ux2ej1p,1624372518,pc3,-86.95875,-12.23,-54.72375,16.981999950408934,39985.0,23.0,20.0,2568970.0,1800.0,-93.84375,-12.01875,-62.760625,15.247999935150146,48804.0,15.0,20.0,2568967.0,2600.0,2,52.491645,13.30461,42.7,0.0,159.0,0.0132,0.01,22.98,22.98,14.52,0.59,1013.5,2.29,0.82,3.0,16.093,3.75023,Residential,63700000.0
Id_gtmm2mp6aw,1624373062,pc3,-85.76375,-12.241875,-52.85375,17.02600004196167,40242.0,23.0,20.0,2568970.0,1800.0,-94.490625,-12.47125,-61.37375,15.67300004005432,49108.0,16.0,20.0,2568967.0,2600.0,2,52.49164666666667,13.304606666666666,44.7,0.0,159.0,0.0132,0.01,22.98,22.98,14.52,0.59,1013.5,2.29,0.82,3.0,16.093,3.64798,Residential,49000000.0
Id_w2xjjpvrwp,1624547543,pc3,-84.76625,-12.489375,-52.839375,9.988999972343445,58460.0,17.0,15.0,2824469.0,2000.0,,,,,,,,,,2,52.49998333333333,13.313286666666666,46.0,0.0,305.8,0.2166,0.32,18.69,18.69,13.55,0.72,1017.9,2.15,0.99,2.0,16.093,2.38482,Residential,28300000.0
Id_dxlku4kxzq,1624552666,pc1,-90.8925,-13.87,-56.52875,13.645999960899353,92639.0,21.0,,,1800.0,-94.658125,-8.98625,-65.3575,14.072999982833862,95464.0,20.0,,,2600.0,1,52.49921166666667,13.31102,35.0,25.1872,263.8,0.309,0.44,18.67,18.67,13.8,0.73,1017.4,2.43,1.0,1.0,16.093,3.1609,Residential,121000000.0
Id_2v9wqxr0pl,1624548132,pc1,-72.989375,-13.918125,-39.739375,24.27799995422363,81590.0,28.0,20.0,40782336.0,1800.0,-83.6325,-16.08375,-47.980625,24.651000022888184,95918.0,28.0,20.0,26358784.0,2600.0,1,52.48845333333333,13.302768333333333,57.7,6.1116,266.2,0.2148,0.32,18.65,18.65,13.49,0.72,1017.9,2.16,0.99,2.0,16.093,2.92111,Residential,199000000.0
Id_5a03r2asdc,1624377729,pc3,-77.63625,-12.26375,-46.605,15.61200002670288,46104.0,23.0,20.0,3499534.0,2600.0,,,,,,,,,,2,52.51199666666667,13.286516666666667,29.3,50.3744,7.7,0.0271,0.01,23.87,23.87,14.78,0.57,1013.7,2.21,0.76,2.0,16.093,9.08572,Avenue,33700000.0
Id_y0q2smeik6,1624356370,pc1,-82.878125,-15.61125,-47.2375,9.285999960750342,45844.0,16.0,20.0,40812800.0,1800.0,-90.89375,-13.46125,-58.00875,1.0820000034570694,89856.0,14.0,20.0,40812802.0,2600.0,1,52.508986666666665,13.282076666666669,48.1,0.0,359.6,0.0396,0.02,19.22,19.22,13.46,0.69,1012.5,4.09,0.96,4.0,16.093,3.14159,Highway,35400000.0
Id_1s1x1hwuiv,1624376543,pc3,-109.180625,-16.788125,-72.483125,-2.90000000141561,49900.0,14.0,20.0,2824456.0,1800.0,,,,,,,,,,2,52.50039,13.329318333333331,50.3,0.0,263.9,0.0235,0.01,23.85,23.85,14.81,0.57,1013.7,2.18,0.76,2.0,16.093,2.42228,Residential,9120000.0
Id_l4h3oq6ynw,1624548348,pc3,-81.69,-12.7375,-50.740625,18.861000022888184,55442.0,24.0,15.0,3428117.0,2000.0,,,,,,,,,,2,52.49423166666666,13.288075,41.1,0.0,275.5,0.2132,0.32,18.64,18.64,13.47,0.72,1017.9,2.16,0.99,2.0,16.093,5.08317,Highway,50600000.0
Id_hz789ix1no,1624542185,pc1,-93.345,-14.304375,-58.071875,14.295999989509582,94346.0,19.0,20.0,33802241.0,1800.0,-88.73125,-8.725625,-58.289375,18.02399995803833,91108.0,16.0,20.0,33802247.0,2600.0,1,52.514135,13.345005,28.7,42.0404,84.3,0.1024,0.22,18.77,18.77,13.44,0.71,1017.9,1.97,0.99,3.0,16.093,2.58339,Park,116000000.0
Id_s52vpfest9,1624552992,pc1,-99.148125,-12.551875,-66.385,2.6970000082999466,67376.0,11.0,20.0,26947072.0,1800.0,-102.985,-12.211875,-70.87625,3.888000008612871,85768.0,12.0,,,2600.0,1,52.49086666666667,13.30469,41.1,23.3352,186.1,0.2981,0.43,18.63,18.63,13.72,0.73,1017.4,2.44,1.0,1.0,16.093,,Residential,25200000.0
Id_7c0p05bi26,1624546890,pc3,-72.053125,-12.959375,-42.605,11.54399995803833,40346.0,20.0,15.0,2819861.0,2000.0,,,,,,,,,,2,52.504088333333335,13.34027,38.9,0.0,214.0,0.2217,0.32,18.67,18.67,13.57,0.72,1017.9,2.17,0.99,2.0,16.093,8.24967,Park,17000000.0
Id_941ndnj3cy,1624370268,pc3,-91.70625,-8.0325,-63.9775,13.555999962091446,98320.0,24.0,20.0,3998477.0,2600.0,,,,,,,,,,2,52.515481666666666,13.365601666666668,32.4,53.708000000000006,84.1,0.0093,0.01,22.35,22.35,14.8,0.62,1013.8,2.12,0.84,3.0,16.093,1.73801,Park,64700000.0
Id_xfdyavd7lu,1624372715,pc3,-85.495,-12.350625,-52.47625,17.991999874114992,41869.0,23.0,20.0,2568970.0,1800.0,-94.595,-12.165,-61.596875,15.559000005722046,47916.0,16.0,20.0,2568967.0,2600.0,2,52.491643333333336,13.304603333333333,43.8,0.0,159.0,0.0132,0.01,22.98,22.98,14.52,0.59,1013.5,2.29,0.82,3.0,16.093,3.35085,Residential,58500000.0
Id_0t3db3fr11,1624349362,pc1,-86.295,-10.57875,-52.500625,3.6609999883174895,97676.0,18.0,20.0,30828800.0,1800.0,-92.608125,-9.970625,-61.226875,17.469000062942506,49404.0,17.0,,,2600.0,1,52.51512833333334,13.36117,38.5,0.0,84.1,0.0655,0.04,18.13,18.13,14.08,0.77,1011.9,4.06,0.97,3.0,16.093,0.2071,Park,50700000.0
Id_nf0kant5h4,1624349401,pc3,-107.28375,-10.328125,-78.043125,7.799000010490418,50770.0,18.0,20.0,3998478.0,2600.0,,,,,,,,,,2,52.51517166666667,13.361848333333333,38.2,30.558,85.6,0.0655,0.04,18.13,18.13,14.08,0.77,1011.9,4.06,0.97,3.0,16.093,0.2071,Park,11500000.0
